id,sentence,tag,member1,member2
6461,与本公司关系:受同一公司控制 2，杭州富生电器有限公司企业类型: 有限公司注册地址: 富阳市东洲街道东洲工业功能区九号路 1 号 法定代表人:葛明注册资本: ?16，000 万元经营范围: 许可经营项目:制造高效节能感应电机;普通货运。,0,0,0
2111,三、关联交易标的基本情况 1、交易标的基本情况 公司名称:红豆集团财务有限公司 公司地址:无锡市锡山区东港镇锡港东路 2 号 企业类型:有限责任公司 法定代表人:周海燕注册资本:50000 万元整财务公司是公司参股公司，成立于 2008 年 11 月，经营范围为:对成员单位 办理财务和融资顾问、信用鉴证及相关的咨询、代理业务;协助成员单位实现交 易款项的收付;经批准的保险代理业务;对成员单位提供担保;办理成员单位之 间的委托贷款及委托投资;对成员单位办理票据承兑与贴现;办理成员单位之间 的内部转账结算及相应的结算、清算方案设计;吸收成员单位的存款;对成员单 位办理贷款及融资租赁;从事同业拆借;承销成员单位的企业债券;对金融机构 的股权投资;有价证券投资(股票二级市场投资除外);成员单位产品的买方信 贷。,0,0,0
9603,2016年协鑫集成科技股份有限公司向瑞峰（张家港）光伏科技有限公司支付设备款人民币4，515，770.00元,1,协鑫集成科技股份有限公司,瑞峰（张家港）光伏科技有限公司
3456,证券代码:600777 证券简称:新潮实业 公告编号:2015-091 烟台新潮实业股份有限公司 第八届监事会第十一次会议决议公告本公司监事会及全体监事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担个别及连带责任。,0,0,0
8844,本集团及广发证券股份有限公司持有辽宁成大股份有限公司股票的本期变动系买卖一揽子沪深300指数成份股所致,1,广发证券股份有限公司,辽宁成大股份有限公司
8722,二、被担保人基本情况被担保人:上海同济建设有限公司 住所:上海市杨浦区中山北二路 1121 号 10 楼 法定代表人:张晔 特别提示本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者 重大遗漏，并对其内容的真实性、准确性和完整性承担个别及连带责任。,0,0,0
9200,2014年12月12日，绵阳市国资委出具了<关于同意转让绵阳国虹通讯数码集团有限责任公司股权有关事项的批复>(绵国资产(2014)82号)，同意公司出售国虹通讯股权相关事宜。,0,0,0
3723,特变电工股份有限公司 2015 年第十二次临时董事会会议 证券代码:600089 证券简称:特变电工 编号:临 2015-084特变电工股份有限公司2015 年第十二次临时董事会会议决议公告本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担个别及连带责任。,0,0,0
3964,变更 完成后，本公司持有翔通动漫 100%的股权，翔通动漫已成为公司全资子公司。,0,0,0
9547,根据上市公司与浦发银行达成的并购贷款意向函，浦发银行合肥分行愿意提供不高于50%交易金额的并购贷款，贷款期限为5年，年利率为8%，贷款类型为信用贷款。,0,0,0
3177,特此公告广东四通集团股份有限公司董事会 2015 年 11 月 8 日备查文件<广东四通集团股份有限公司第二届董事会 2015 年第三次会议决议>,0,0,0
